Слово,Частота
матч,114
сезон,71
чемпион,52
российский,51
клуб,51
миллион,47
команда,46
okko,44
английский,44
апл,43
счет,42
футболист,42
победа,42
чемпионат,42
игрок,39
россия,38
лига,37
летний,35
компания,33
новый,32
