Слово,Частота
россия,46
артист,45
фильм,45
миллион,43
человек,42
сша,37
актер,34
певица,34
отмечаться,33
получать,32
ребенок,31
российский,28
женщина,27
издание,25
летний,25
театр,24
американский,24
картина,24
смерть,23
государственный,23
