Слово,Частота
россия,95
сотрудник,90
дело,84
задерживать,51
уголовный,47
орган,44
человек,42
москва,42
отношение,41
суд,41
правоохранительный,40
данные,40
получать,40
управление,39
убийство,36
миллион,36
мужчина,35
полицейский,32
рубль,32
возбуждать,31
