Слово,Частота
россия,108
сша,102
российский,69
страна,58
военный,58
гонконг,53
человек,48
американский,40
получать,39
отмечаться,38
президент,38
самолет,37
происходить,35
сила,35
находиться,34
истребитель,34
ребенок,34
полиция,33
погибать,31
китай,31
